Альтернатива,Проходной балл (+),Количество бюджетных мест (-),Стоимость обучения (руб.) (+),Размер стипендии (руб.) (+),Рейтинг университета (баллы) (+),Расстояние до общежития (км) (-)
РТУ МИРЭА,276,285,320000,2800,843,3.7
МГТУ имени Н.Э. Баумана,291,84,363040,2854,964,12.2
ВШЭ,295,135,700000,2994,878,3.9
МАИ,247,25,277770,1765,761,1.4
ИТМО,304,45,349000,2252,838,6.4
СПбГУ,276,35,335300,2843,915,12.3
МТУСИ,263,60,290000,1799,705,4.4
СГУ им. Чернышевского,192,30,42960,1454,847,1.3
НИЯУ МИФИ,300,37,287000,2875,975,12
МФТИ,290,30,432000,1900,965,12.8
