Матрица парного сравнения критериев
1,2,2,0.5,4
0.5,1,2,0.2,2
0.5,0.5,1,0.125,2
2,5,8,1,2
0.25,0.5,0.5,0.5,1
Матрица сравнения по критерию 1 (проходной балл)
1,0.5,8,0.25,2
2,1,6,0.5,2
0.125,0.167,1,0.2,0.167
4,2,5,1,2
0.5,0.5,0.167,0.5,1
Матрица сравнения по критерию 2 (количество бюджетных мест)
1,5,0.167,0.2,0.2
0.2,1,0.125,0.2,0.25
6,8,1,2,2
5,5,0.5,1,0.5
5,4,0.5,2,1
Матрица сравнения по критерию 3 (стоимость обучения)
1,0.125,4,4,0.25
8,1,9,8,4
0.25,0.111,1,0.5,0.2
0.25,0.125,2,1,0.25
4,0.25,5,4,1
Матрица сравнения по критерию 4 (рейтинг университета)
1,4,8,0.5,1
0.25,1,4,0.333,0.333
0.125,0.25,1,0.125,0.125
2,3,8,1,1
1,3,8,1,1
Матрица сравнения по критерию 5 (расстояние до общежития)
1,5,8,9,2
0.2,1,4,5,0.333
0.125,0.25,1,2,0.125
0.111,0.2,0.5,1,0.125
0.5,3,8,8,1
